1000 1500
789 881
13 97
838 424
338 704
750 815
906 539
467 258
824 778
878 241
193 275
252 917
203 919
43 268
958 372
62 899
979 324
449 540
466 286
608 881
64 59
278 815
48 604
858 262
673 986
471 96
849 103
915 200
9 499
184 637
137 985
162 807
108 339
536 266
8 58
334 608
31 131
322 348
425 934
550 932
286 17
117 462
46 93
809 559
355 152
485 399
754 883
55 73
174 827
968 490
141 165
558 472
839 166
794 333
236 818
406 332
430 366
449 939
407 31
310 217
227 580
953 258
281 233
820 40
102 894
322 517
915 424
794 823
89 398
725 563
762 606
563 317
961 817
683 302
868 764
602 191
72 777
182 861
39 341
579 541
518 395
757 754
154 177
56 805
540 970
805 5
593 20
357 999
967 530
690 663
445 204
532 752
427 110
882 728
890 806
954 968
973 866
19 322
296 442
96 355
344 545
536 732
635 538
396 284
233 417
160 80
699 631
757 965
363 466
654 788
477 829
2 968
180 595
42 213
23 530
404 897
653 469
847 527
32 82
23 329
934 838
435 246
733 926
365 917
808 415
450 609
285 440
355 749
778 782
579 826
863 816
506 414
244 533
482 511
78 563
552 89
943 905
212 500
964 727
252 185
923 740
574 166
812 504
309 472
639 612
502 665
118 814
596 379
820 281
72 748
775 29
333 234
290 642
75 816
119 115
514 673
491 209
754 844
169 485
200 393
259 251
339 716
174 563
672 287
318 401
603 173
274 359
919 300
473 290
424 114
702 930
982 236
760 270
765 130
476 912
331 487
63 548
434 528
190 7
935 963
297 637
713 130
200 499
134 8
148 71
82 419
297 613
994 595
906 587
40 457
166 447
511 523
706 567
18 368
175 850
624 951
781 341
627 605
792 528
1 174
898 658
458 395
569 970
156 421
34 808
131 129
982 748
284 829
468 821
212 834
144 700
645 50
954 922
921 755
298 286
586 333
3 172
81 881
421 107
509 179
175 262
174 393
212 909
466 684
94 340
952 238
961 693
244 924
697 162
595 847
46 517
919 814
903 483
364 126
605 494
132 124
289 259
193 66
225 556
305 464
487 534
366 997
730 869
566 654
49 134
232 87
677 261
537 736
967 377
78 249
418 669
843 769
265 560
99 443
396 143
88 266
247 98
630 703
940 28
563 648
747 286
2 787
606 159
944 708
258 389
110 547
466 999
192 881
918 910
157 925
717 496
73 210
903 871
807 819
86 106
685 123
495 436
330 449
916 897
0 966
467 651
672 220
700 557
761 731
215 319
957 502
786 743
374 447
618 217
976 104
229 714
993 291
888 698
655 436
196 960
881 846
742 442
729 363
159 613
464 665
545 74
891 881
956 34
580 401
832 947
963 388
483 955
655 424
245 804
399 489
33 113
750 372
951 600
647 598
865 656
397 334
235 45
679 953
350 810
297 453
638 391
246 623
275 795
117 833
981 467
226 878
180 59
614 944
694 516
281 852
546 319
87 44
28 497
257 870
938 520
302 75
815 413
266 74
6 530
293 117
634 502
110 173
355 294
178 874
691 455
960 725
505 25
759 82
22 566
570 384
958 939
994 955
794 214
309 836
812 945
950 254
90 134
37 4
782 108
841 690
13 88
163 577
711 687
564 952
663 563
945 543
619 100
470 229
54 401
977 372
564 616
857 971
894 994
71 605
423 506
395 136
157 728
842 673
940 777
582 837
288 673
719 531
633 291
753 481
268 759
877 676
640 374
941 444
174 587
354 343
740 595
864 172
667 94
797 803
400 486
54 907
352 255
2 60
448 591
331 47
692 944
234 875
382 76
754 601
177 361
808 345
934 429
665 206
743 315
373 128
571 102
683 777
665 310
292 979
784 873
316 175
702 19
279 160
639 601
616 514
41 867
896 877
709 624
373 631
937 622
225 640
204 866
333 815
921 709
93 966
792 728
285 98
25 689
556 557
763 390
472 239
252 65
163 266
737 821
565 517
920 960
785 164
252 114
564 533
634 501
683 998
433 77
509 30
279 833
690 457
842 603
193 352
651 93
928 672
426 684
903 921
254 377
102 122
636 365
329 964
738 909
192 188
636 327
116 100
430 204
79 780
699 959
116 37
502 956
127 623
223 132
589 580
849 560
463 236
849 4
43 50
289 726
60 942
526 679
3 189
103 194
206 350
895 434
736 766
349 73
168 711
778 646
143 748
202 142
236 592
822 134
50 488
393 456
501 38
42 589
689 623
970 370
556 751
495 29
709 460
927 730
844 592
9 657
851 595
0 858
102 880
218 652
855 422
112 242
45 547
87 304
158 180
127 940
3 240
296 768
155 485
558 159
418 290
37 462
627 504
213 389
516 83
972 710
657 677
792 869
764 676
532 328
555 851
253 753
122 831
373 466
123 659
448 465
539 662
253 308
846 74
231 750
550 553
989 19
352 595
967 760
576 163
522 727
183 611
685 65
409 677
229 428
52 12
622 160
93 394
555 772
277 891
336 670
517 705
445 243
461 434
222 748
411 647
169 514
810 118
111 3
297 227
407 518
846 98
296 395
818 7
37 150
919 218
86 981
807 325
252 912
735 432
564 73
508 64
857 572
133 11
35 640
369 63
188 86
338 75
501 731
994 854
604 529
164 767
1 690
127 724
521 271
86 279
355 846
420 414
937 730
6 378
153 920
449 298
820 47
287 393
623 599
211 885
824 326
565 538
651 446
722 118
406 595
355 878
305 587
778 65
266 383
984 523
976 426
210 181
823 567
845 715
236 608
839 118
305 372
672 139
26 768
154 19
793 945
77 117
247 761
222 985
437 409
776 198
674 150
99 255
685 839
164 81
197 5
558 168
390 132
896 698
936 889
526 772
539 644
948 796
133 400
240 438
544 17
792 139
997 493
644 431
397 78
253 586
554 215
894 250
161 789
874 327
843 608
254 87
236 34
593 466
803 247
97 289
651 902
135 762
586 495
382 455
456 757
119 8
402 998
617 646
200 16
408 282
563 438
67 973
284 251
330 129
913 919
368 768
96 16
533 4
433 835
464 134
326 139
395 802
263 825
342 235
828 348
457 572
266 531
468 39
746 457
410 0
310 671
941 404
413 873
715 175
417 602
50 108
743 513
408 409
239 504
998 961
333 274
677 419
775 374
810 259
727 65
6 976
891 936
481 326
948 6
32 876
4 291
380 153
875 958
414 251
323 557
520 136
275 74
189 496
497 703
219 906
531 749
456 471
208 18
499 492
475 442
301 620
544 39
239 341
465 275
133 433
627 373
692 136
949 51
736 924
961 823
369 621
270 741
791 46
165 396
51 464
275 763
496 901
46 853
954 808
691 360
678 507
79 987
842 937
156 302
758 805
815 214
780 571
488 297
739 781
786 423
970 96
899 41
291 665
798 686
702 826
231 292
320 545
30 69
75 811
664 410
392 693
595 763
978 827
233 928
189 437
214 90
167 150
101 909
750 70
511 362
898 499
38 248
331 764
954 467
110 934
977 520
469 122
420 767
573 759
824 402
188 988
714 101
98 913
671 255
935 262
19 112
574 459
264 659
608 130
137 902
140 11
871 31
677 542
300 858
484 334
550 816
248 860
902 730
764 273
602 222
0 296
272 41
